x0,x1,cluster
11.4809, 8.04941,1
9.36814, 7.15992,1
0.14382, 13.4285,2
2.47512, 9.11214,2
2.05212, 14.152,2
10.8788, 0.349283,0
12.6088, 7.43427,1
10.3005, 7.28086,1
13.6149, -0.107826,0
10.43, 11.1594,3
3.23845, 11.9617,2
10.3215, 7.31995,1
9.41998, 6.93447,1
15.2297, 13.9211,3
8.49076, 5.99726,1
2.66306, 12.7742,2
1.58926, 11.3689,2
10.9304, 1.64364,0
3.22366, 12.9641,2
3.04497, 13.8943,2
8.50998, 0.00153459,0
3.05477, 10.0109,2
2.32387, 12.9712,2
4.09488, 13.7055,2
12.521, 8.62878,1
9.91358, -1.63237,0
11.6532, 8.16821,1
10.8308, 6.7574,1
3.12286, 13.0891,2
-0.605533, 10.068,2
10.4559, -1.11907,0
2.83181, 12.7568,2
3.34113, 12.0684,2
5.03361, 13.4748,2
11.4202, 11.5405,3
12.9183, 12.332,3
9.57929, 5.21165,1
11.8281, 8.55068,1
11.2084, 11.4216,3
3.98255, 13.2099,2
0.244478, 13.0536,2
3.21293, 13.83,2
3.87516, 14.0947,2
13.0589, 2.37744,0
9.5467, 9.46417,1
4.08056, 13.1574,2
11.2262, 0.699377,0
12.2334, 8.22976,1
4.33003, 13.3044,2
9.64841, 7.70992,1
11.9253, 10.8409,3
3.95679, 14.5447,2
8.48053, 6.56541,1
4.8311, 12.8724,2
12.2564, 7.1832,1
10.0914, -1.20385,0
10.7814, -0.985395,0
9.10726, 6.16017,1
11.0088, 1.01454,0
3.49653, 13.2699,2
9.02459, 14.104,3
10.8784, 6.82981,1
11.6417, 13.4402,3
8.26477, 0.517983,0
13.5368, 17.2469,3
0.023029, 8.2222,2
3.23976, 12.3058,2
10.258, 6.48531,1
11.902, 13.0282,3
9.75891, 6.84184,1
3.10418, 11.6799,2
13.0333, 12.3264,3
11.8067, 8.90971,1
12.2254, 0.104418,0
1.99804, 10.9778,2
4.508, 15.1355,2
5.27994, 15.0824,2
0.252488, 11.0341,2
11.2262, -0.019829,0
11.5614, 0.000359772,0
7.69329, 4.88023,1
10.5294, 0.28393,0
8.89876, -1.23215,0
0.956053, 10.0507,2
11.1579, -0.045439,0
5.84639, 10.5781,2
12.3512, 12.6979,3
11.7469, 0.751158,0
2.65362, 12.3723,2
11.9549, 11.0745,3
11.1579, 0.41429,0
9.16898, 10.5168,1
3.9879, 15.2066,2
11.7403, -0.665457,0
10.0268, -1.14789,0
4.37498, 12.9741,2
8.77203, -0.283808,0
0.570086, 10.4535,2
10.5271, 8.34694,1
2.64601, 11.7442,2
0.277027, 10.7451,2
2.18305, 12.5261,2
12.4182, 6.71784,1
9.07126, 6.75211,1
10.7896, 11.3849,3
9.72739, 5.38467,1
11.4009, 15.2369,3
9.51535, 1.91099,0
11.3749, 13.9821,3
10.3751, 8.3385,1
11.0039, -1.63385,0
9.63887, -0.800552,0
2.11899, 12.5738,2
11.6181, 7.55505,1
11.9098, 8.50979,1
11.757, 8.91066,1
9.23548, 3.17373,0
4.55175, 13.1456,2
2.00623, 9.44873,2
10.504, 13.1442,3
4.22948, 14.4778,2
11.0476, 8.83971,1
4.91851, 13.2353,2
11.6538, 10.3474,3
10.7999, 6.56272,1
10.7403, 5.09283,1
3.54153, 14.7301,2
2.05663, 9.96191,2
10.6669, 0.326527,0
2.85515, 13.0034,2
11.0053, 7.36142,1
10.8106, -1.44671,0
10.8453, -0.357219,0
11.7263, -0.384377,0
2.49295, 13.2309,2
4.59471, 13.9853,2
3.8363, 14.7172,2
11.9754, 16.5845,3
11.7757, -0.577989,0
8.79533, 5.7947,1
11.2671, 9.71403,1
10.1102, 6.19727,1
14.7965, 14.0149,3
13.0024, 1.02859,0
12.1099, 8.37216,1
9.87233, 9.21255,1
1.62917, 13.1531,2
10.7393, -0.126556,0
3.60536, 14.6693,2
10.9894, 1.40582,0
2.73048, 13.8523,2
14.8185, 11.5976,3
8.20427, 12.5887,3
3.29792, 12.6722,2
3.65976, 12.994,2
9.14864, 12.9785,3
9.97659, 12.5137,3
12.6022, 13.3458,3
2.92862, 13.4844,2
11.1756, 6.55026,1
3.98966, 12.5695,2
12.5922, 10.2146,3
10.616, 0.00624364,0
2.66854, 13.0548,2
2.67413, 13.0748,2
4.00811, 13.2511,2
3.23468, 12.8947,2
10.1946, -3.36374,0
0.675488, 10.7251,2
11.6988, 1.28326,0
2.63102, 13.5018,2
2.14419, 13.4131,2
11.4073, 6.56499,1
3.42195, 11.1971,2
3.14078, 13.0925,2
10.2368, 10.6143,3
2.84921, 14.7478,2
9.69911, 7.51302,1
5.32804, 14.0942,2
10.8005, 2.70113,0
3.87194, 13.4263,2
12.6473, -0.442289,0
11.9315, 6.73792,1
2.14497, 9.72687,2
11.6737, -0.783579,0
12.7449, 10.5123,3
11.0861, 2.81408,0
4.47861, 13.7897,2
11.1398, 1.77123,0
11.9977, 6.99741,1
9.86865, 12.9554,3
10.3547, -1.81706,0
11.3639, 0.734292,0
10.5117, 6.17637,1
1.71616, 13.3566,2
11.485, 0.643014,0
7.82847, 7.2988,1
9.24125, 6.66585,1
11.4157, 8.7457,1
10.713, 0.472487,0
11.721, 7.92594,1
4.40236, 13.592,2
5.34828, 14.8658,2
5.10372, 13.7016,2
4.10332, 14.2524,2
13.3158, 9.91094,3
10.5102, 6.37748,1
0.626989, 10.8117,2
9.69574, 10.0989,1
11.9559, 2.35753,0
9.65539, 1.82669,0
8.81443, 4.26878,1
9.69088, -0.485361,0
8.912, 6.56853,1
10.3331, 8.25171,1
4.74402, 14.744,2
10.3916, 11.3911,3
10.4934, 0.94567,0
9.5862, 4.07559,1
3.94222, 13.2489,2
1.60515, 11.9804,2
12.763, 7.7718,1
7.25118, 13.5137,2
2.00188, 13.3579,2
1.95101, 11.8694,2
3.52555, 15.1733,2
10.0306, 7.36372,1
9.38537, 6.92164,1
3.48973, 14.5165,2
10.4142, 17.6715,3
12.7775, -0.755153,0
13.9027, 11.9109,3
4.71175, 13.8896,2
10.7236, -0.40143,0
13.2028, 12.7375,3
4.18884, 16.1432,2
3.44551, 10.5424,2
10.549, 6.66637,1
6.03501, 10.6201,2
3.24113, 13.6425,2
3.48318, 12.3101,2
12.3477, 9.31556,1
13.3229, 11.1973,3
13.3642, 12.4305,3
10.0889, 9.28937,1
14.1171, 11.6139,3
1.96257, 12.8486,2
11.0071, 10.3788,3
9.91954, 5.13795,1
3.03517, 14.7203,2
9.60989, 1.5265,0
3.72071, 13.9052,2
9.02561, 14.6969,3
12.5549, 15.174,3
1.55718, 10.6154,2
9.8614, 11.4238,3
11.818, 0.274853,0
9.8946, 6.89178,1
12.1979, 7.6001,1
10.5187, -0.00279171,0
11.3601, 8.81222,1
10.4986, -0.847649,0
11.128, 11.5077,3
8.50064, 5.74054,1
10.2347, 8.73898,1
2.77443, 12.6869,2
2.59326, 15.0152,2
12.6383, 2.47212,0
10.1275, 0.765489,0
1.84496, 12.8946,2
10.5577, 3.17751,0
12.0774, -0.519593,0
0.476376, 11.7783,2
13.2288, 9.29248,1
10.2939, 2.14291,0
1.65662, 11.4573,2
12.0957, -0.631993,0
11.4291, 13.1627,3
2.76013, 10.4875,2
9.00035, 1.78818,0
9.83611, 7.01167,1
2.76979, 10.4543,2
9.88375, 5.19786,1
7.59861, 6.97453,1
11.0647, 14.2065,3
9.24379, 6.77029,1
8.5493, 10.8957,1
11.0659, 2.59066,0
9.96273, -0.0890056,0
9.6916, 5.31214,1
2.98944, 13.669,2
10.1329, 9.60729,1
11.7463, 2.79475,0
1.77546, 11.8798,2
0.764169, 10.8237,2
10.3231, 8.40414,1
3.77836, 14.6538,2
1.67912, 13.2931,2
0.903183, 9.34307,2
10.7385, 8.94674,1
11.9373, 7.75735,1
-0.322181, 11.0861,2
11.2205, 9.06668,1
11.2075, 1.88745,0
3.11094, 12.3796,2
11.0615, 7.85937,1
11.3297, -0.632445,0
4.21903, 14.3786,2
1.13598, 10.0849,2
14.0248, 4.01055,0
10.1399, -0.886665,0
0.939927, 11.0755,2
9.36623, 13.4116,3
2.13832, 14.7818,2
11.0668, 11.5595,3
10.5942, 0.32017,0
8.85423, 6.58711,1
3.69025, 13.0467,2
4.16582, 10.3059,2
7.88561, 4.713,1
9.6633, 4.751,1
4.50526, 13.0911,2
10.9369, 8.40757,1
11.4947, 10.5397,3
4.16938, 14.7568,2
3.67403, 12.6364,2
13.5007, 13.3803,3
4.07833, 14.3274,2
8.98347, -1.10997,0
10.6709, -1.18122,0
8.53917, 0.558975,0
10.059, -0.205168,0
10.9388, 0.393203,0
2.24252, 14.4557,2
10.8677, 6.8996,1
3.06708, 13.0103,2
8.39439, 5.19321,1
3.27706, 13.6294,2
10.2826, 7.05599,1
12.3835, 10.2091,3
17.3079, 10.8144,3
12.2336, 0.027942,0
2.44621, 12.945,2
10.3777, 8.74419,1
16.2557, 12.3676,3
11.5269, 1.13305,0
3.22291, 14.1347,2
8.28656, -2.07291,0
10.6223, 9.27761,1
11.2369, 9.15045,1
11.7967, -0.0745845,0
10.785, -0.100177,0
10.8479, 1.36906,0
1.33877, 9.19413,2
12.1654, 10.0385,3
0.450409, 11.6871,2
2.56675, 11.823,2
12.9853, 9.44464,1
2.00149, 12.9499,2
9.6322, 6.67194,1
3.80058, 12.3631,2
2.72255, 9.86115,2
4.38816, 14.9642,2
13.779, 11.1333,3
9.9087, 6.82735,1
2.85802, 11.2726,2
11.1759, 0.714445,0
7.73521, 6.27486,1
1.43122, 11.4516,2
2.87893, 14.0051,2
9.01183, 10.1222,1
12.6901, 15.23,3
8.36291, 13.0211,3
7.76788, 11.5922,3
3.6963, 13.0762,2
2.30601, 12.3206,2
12.0122, 11.649,3
10.6221, 13.8148,3
3.93601, 14.1242,2
4.70965, 14.7096,2
0.499849, 12.2623,2
3.91789, 13.7319,2
3.41216, 14.3398,2
11.1732, 12.2096,3
3.51771, 13.7257,2
-0.0994628, 11.9185,2
5.52995, 15.1595,2
12.5713, 9.35094,1
11.2097, 14.8643,3
10.7945, 8.54068,1
-0.40902, 12.3342,2
12.1448, 1.70243,0
3.19965, 13.8512,2
3.6617, 14.4228,2
12.4525, 9.40507,1
8.97195, 6.94098,1
3.34775, 14.3147,2
10.9104, -0.647089,0
3.25499, 12.9162,2
10.6005, 8.67081,1
9.59778, 12.374,3
12.507, 11.4477,3
3.89098, 14.4689,2
11.2084, 16.1798,3
3.76943, 14.0849,2
7.73065, 13.5731,3
10.8274, 15.8784,3
9.63879, -0.978317,0
2.22243, 13.2628,2
10.2405, 6.52349,1
1.75363, 11.8465,2
4.02334, 13.287,2
4.21101, 13.8481,2
2.89706, 11.5632,2
4.12002, 13.0247,2
10.2457, 1.97467,0
10.6521, 8.92275,1
1.73016, 11.7542,2
1.36008, 11.1934,2
12.2291, 13.7973,3
3.04, 13.587,2
9.46656, 0.868381,0
12.1988, 8.23071,1
11.6675, 9.22558,1
13.75, 13.2637,3
3.95426, 12.0474,2
10.551, 3.03062,0
3.92227, 14.9178,2
9.77496, -1.30043,0
13.9788, 12.6164,3
10.8187, 1.39809,0
8.98869, -0.956737,0
3.49281, 14.1869,2
13.1435, 9.21881,1
9.75883, 1.81977,0
1.0178, 10.0941,2
10.789, 0.496471,0
12.975, 7.8188,1
11.6827, 1.18132,0
11.0598, 10.2776,1
11.142, 5.60707,1
12.7821, 13.7932,3
2.57458, 11.3958,2
10.9725, 0.714392,0
10.9815, 0.769761,0
5.11028, 13.355,2
1.4325, 12.8421,2
10.124, 7.24849,1
3.05875, 14.0802,2
0.882996, 11.7094,2
11.2115, 9.49378,1
1.37066, 11.1341,2
17.1427, 9.83263,3
12.8206, 4.4331,1
3.21547, 14.3139,2
7.77448, 10.2597,1
3.42779, 11.9245,2
9.60941, -1.18573,0
8.7677, 13.3007,3
10.0451, 8.58335,1
11.0427, -0.140308,0
3.79679, 14.2887,2
4.09017, 13.5582,2
10.2512, 6.61574,1
3.81231, 13.5475,2
12.1139, 1.50296,0
1.56329, 14.1978,2
9.84539, 9.98913,1
3.31465, 13.2692,2
