x0,x1,x2,cluster
6.77388, 10.9604, 12.9481,3
6.57618, 8.50377, 10.5957,3
2.31512, 10.0975, 11.3758,3
15.0083, 9.16525, 8.71826,2
8.26322, 11.0997, 7.33845,3
2.56128, 9.34615, 10.2202,3
6.70594, 10.3127, 12.7993,3
3.53654, 8.00685, 10.1652,3
2.56112, 1.23538, 7.56162,0
3.0361, 2.98605, 9.92031,0
7.77932, -0.434216, 6.88029,0
5.46224, 11.1218, 11.8647,3
3.86843, 8.8039, 12.7501,3
6.52119, 12.4751, 12.2746,3
3.49576, 9.52852, 10.8212,3
16.567, 1.45671, 7.57266,2
1.97101, 9.39832, 9.65133,3
10.2693, 5.52895, 7.90515,2
2.46706, 1.50217, 5.60944,0
1.42632, 0.0616506, 5.21452,0
8.19929, 4.0293, 6.81569,0
14.2886, 3.17293, 10.348,2
1.56866, 2.81014, 7.45654,0
2.0813, 0.602402, 5.70257,0
9.78236, 11.7687, 13.4662,3
2.2241, 2.56116, 6.44044,0
2.14703, 9.32765, 9.78275,3
2.59177, 12.0052, 0.923161,1
-4.64261, 11.8259, -4.7705,1
3.11263, 3.37426, 7.30383,0
8.46383, 10.7875, 13.6646,3
13.4582, 4.65418, 8.31137,2
9.61211, 11.8712, 14.5799,3
7.83207, 9.45484, 14.1428,3
7.76842, 11.1314, 13.9724,3
2.2414, 1.50006, 6.7527,0
6.4293, 9.45354, 11.6606,3
2.20497, 1.33203, 8.71857,0
11.1031, 7.09657, 10.8893,2
9.73556, 1.54835, 5.02339,2
13.588, 5.71161, 9.54453,2
1.28428, 0.249034, 5.90354,0
14.4347, -1.98877, 5.10401,2
6.17632, 10.9081, 13.2503,3
14.9607, 1.73398, 7.57964,2
7.71964, 10.5878, 12.6519,3
15.1151, 6.49502, 8.76107,2
4.90464, 0.674673, 9.94468,0
8.91411, 9.22061, 12.861,3
2.95417, 0.183341, 7.36436,0
4.23143, 10.9134, 10.3842,3
8.92208, 10.3416, 14.2114,3
2.32215, 10.0344, 9.53454,3
17.2155, 8.02265, 11.9229,2
8.82103, 11.2804, 13.4657,3
3.89151, 0.809208, 7.44838,0
5.54415, 11.9207, 10.4413,3
6.70271, 2.32255, -0.708739,0
4.25033, 9.29857, 10.0911,3
8.72558, 10.2126, 14.2849,3
16.9523, 7.74349, 12.9584,2
13.9407, 7.22738, 4.49497,2
2.39257, 8.74883, 9.96849,3
6.24488, 9.38827, 12.4872,3
15.3301, 6.54879, 7.59846,2
7.79869, 4.23876, 4.07924,0
3.79106, 8.53276, 9.35111,3
5.09236, 4.66881, 7.13837,0
-4.85671, 8.32166, -0.295195,1
7.22766, 12.0691, 13.2486,3
7.26241, 12.4945, 11.4838,3
-1.24958, 1.51659, 8.62618,0
4.28256, 10.8537, 10.1347,3
3.497, 9.67919, 11.2895,3
5.21975, 11.1625, 9.94573,3
3.74952, 9.87086, 8.02651,3
11.8517, 3.51242, 7.82527,2
2.08799, 1.97555, 5.62584,0
10.801, 12.9258, 15.4023,3
11.1905, 7.78824, 10.5114,2
6.4291, 10.3399, 12.1564,3
12.6323, 1.74533, 4.65771,2
9.13927, 3.69844, 5.64697,2
4.94133, 14.0061, -3.17344,1
3.5255, 9.93472, 10.9581,3
18.2998, 8.32744, 14.4089,2
12.3637, 0.530165, 6.52703,2
1.63826, 8.27739, -0.134349,1
3.4622, 9.60139, 9.6401,3
16.2878, 6.38258, 14.2576,2
13.9584, 9.94579, 11.3633,2
3.17033, 2.89991, 6.03791,0
0.683589, 1.19696, 8.12712,0
3.42883, 2.99881, 7.2937,0
-1.06011, 17.74, 4.38566,1
0.860013, 13.6227, 3.30796,1
2.78938, 9.99993, 9.52887,3
3.27874, 9.92742, 8.51514,3
-0.40691, 19.3012, -0.9359,1
-5.57866, 5.88878, -6.25138,1
17.3115, 7.38356, 10.0681,2
8.05054, 12.8287, 10.1321,3
6.28195, 10.7615, 12.1344,3
4.38378, 10.0305, 9.67078,3
9.50719, 11.5808, 8.802,3
15.1066, 6.5224, 8.20757,2
6.88858, 12.4516, 16.4015,3
1.54122, -0.750597, 6.93424,0
2.88782, 15.5493, 6.57534,3
4.02072, 13.5503, 5.74011,3
6.0439, 7.77627, 10.3917,3
3.54391, 9.66332, 9.36657,3
5.64407, 15.4038, 17.3969,3
5.88945, 7.18634, 12.3549,3
4.23221, 10.2872, 12.388,3
12.8263, 4.81322, 8.53592,2
12.513, 1.21857, 7.21931,2
1.18167, 2.55624, 7.0264,0
17.1805, 5.9022, 12.6754,2
3.67307, 3.24028, 8.31624,0
2.7055, 9.05257, 8.85276,3
5.49332, 10.7121, 11.4373,3
3.62405, 1.89492, 8.06777,0
0.925143, 8.62889, 13.6054,3
7.01709, 10.9557, 12.8742,3
9.4649, 9.52333, 15.0126,3
7.65224, 12.4391, 14.2832,3
1.12305, 8.03027, 9.69129,3
8.13726, 10.0854, 13.6287,3
3.09481, 8.73081, 9.91552,3
10.8205, 3.15541, 4.87985,2
5.32908, 11.0304, 10.6461,3
4.41617, 14.1727, 9.69487,3
